Tanggal,Harga
2023-02-23,68170.0
2023-02-24,68630.0
2023-02-25,68970.0
2023-02-26,68970.0
2023-02-27,66290.0
2023-02-28,66830.0
2023-03-01,67290.0
2023-03-02,66400.0
2023-03-03,66250.0
2023-03-04,65390.0
2023-03-05,66970.0
2023-03-06,68600.0
2023-03-07,69490.0
2023-03-08,70430.0
2023-03-09,68850.0
2023-03-10,68860.0
2023-03-11,70060.0
2023-03-12,70190.0
2023-03-13,71080.0
2023-03-14,70520.0
2023-03-15,71840.0
2023-03-16,71170.0
2023-03-17,73600.0
2023-03-18,73620.0
2023-03-19,73640.0
2023-03-20,76860.0
2023-03-21,79480.0
2023-03-22,79620.0
2023-03-23,78860.0
2023-03-24,77400.0
2023-03-25,77860.0
2023-03-26,78040.0
2023-03-27,74550.0
2023-03-28,67140.0
2023-03-29,62880.0
2023-03-30,57640.0
2023-03-31,57350.0
2023-04-01,57870.0
2023-04-02,58150.0
2023-04-03,54840.0
2023-04-04,53330.0
2023-04-05,50960.0
2023-04-06,49820.0
2023-04-07,49300.0
2023-04-08,49750.0
2023-04-09,47200.0
2023-04-10,44400.0
2023-04-11,42570.0
2023-04-12,42580.0
2023-04-13,42270.0
2023-04-14,41510.0
2023-04-15,41250.0
2023-04-16,41350.0
2023-04-17,42630.0
2023-04-18,44980.0
2023-04-19,45490.0
2023-04-20,43390.0
2023-04-21,47760.0
2023-04-22,46820.0
2023-04-23,46000.0
2023-04-24,47970.0
2023-04-25,44900.0
2023-04-26,43590.0
2023-04-27,41620.0
2023-04-28,38810.0
2023-04-29,38020.0
2023-04-30,38240.0
2023-05-01,36610.0
2023-05-02,37340.0
2023-05-03,35400.0
2023-05-04,35560.0
2023-05-05,35990.0
2023-05-06,34870.0
2023-05-07,34050.0
2023-05-08,35360.0
2023-05-09,34960.0
2023-05-10,35240.0
2023-05-11,35520.0
2023-05-12,36360.0
2023-05-13,36440.0
2023-05-14,36270.0
2023-05-15,35080.0
2023-05-16,36320.0
2023-05-17,36340.0
2023-05-18,36530.0
2023-05-19,36640.0
2023-05-20,37720.0
2023-05-21,37730.0
2023-05-22,40890.0
2023-05-23,43190.0
2023-05-24,42990.0
2023-05-25,42930.0
2023-05-26,42900.0
2023-05-27,43270.0
2023-05-28,42630.0
2023-05-29,43060.0
2023-05-30,42400.0
2023-05-31,43870.0
2023-06-01,41970.0
2023-06-02,42450.0
2023-06-03,43550.0
2023-06-04,43360.0
2023-06-05,44210.0
2023-06-06,45060.0
2023-06-07,45030.0
2023-06-08,44520.0
2023-06-09,44360.0
2023-06-10,44420.0
2023-06-11,44320.0
2023-06-12,44200.0
2023-06-13,43090.0
2023-06-14,43610.0
2023-06-15,42330.0
2023-06-16,42530.0
2023-06-17,42220.0
2023-06-18,42700.0
2023-06-19,40800.0
2023-06-20,40650.0
2023-06-21,40470.0
2023-06-22,39260.0
2023-06-23,39280.0
2023-06-24,39560.0
2023-06-25,40160.0
2023-06-26,39650.0
2023-06-27,40570.0
2023-06-28,40390.0
2023-06-29,40450.0
2023-06-30,41010.0
2023-07-01,43170.0
2023-07-02,40650.0
2023-07-03,39800.0
2023-07-04,38690.0
2023-07-05,38640.0
2023-07-06,37550.0
2023-07-07,36830.0
2023-07-08,36180.0
2023-07-09,37350.0
2023-07-10,37090.0
2023-07-11,36150.0
2023-07-12,35130.0
2023-07-13,35090.0
2023-07-14,34670.0
2023-07-15,34350.0
2023-07-16,34320.0
2023-07-17,34590.0
2023-07-18,34420.0
2023-07-19,34380.0
2023-07-20,34150.0
2023-07-21,35080.0
2023-07-22,34200.0
2023-07-23,35230.0
2023-07-24,35160.0
2023-07-25,35190.0
2023-07-26,35440.0
2023-07-27,36260.0
2023-07-28,35960.0
2023-07-29,35680.0
2023-07-30,35890.0
2023-07-31,38420.0
2023-08-01,38630.0
2023-08-02,39290.0
2023-08-03,39650.0
2023-08-04,42580.0
2023-08-05,40460.0
2023-08-06,40090.0
2023-08-07,41230.0
2023-08-08,41970.0
2023-08-09,41910.0
2023-08-10,42370.0
2023-08-11,41990.0
2023-08-12,42170.0
2023-08-13,43080.0
2023-08-14,43570.0
2023-08-15,42260.0
2023-08-16,42630.0
2023-08-17,42660.0
2023-08-18,44840.0
2023-08-19,43510.0
2023-08-20,44170.0
2023-08-21,45130.0
2023-08-22,46710.0
2023-08-23,45930.0
2023-08-24,44540.0
2023-08-25,45820.0
2023-08-26,45060.0
2023-08-27,45060.0
2023-08-28,43260.0
2023-08-29,43060.0
2023-08-30,41890.0
2023-08-31,40710.0
2023-09-01,41290.0
2023-09-02,40020.0
2023-09-03,39100.0
2023-09-04,39510.0
2023-09-05,38240.0
2023-09-06,36550.0
2023-09-07,37880.0
2023-09-08,37210.0
2023-09-09,36580.0
2023-09-10,36800.0
2023-09-11,36410.0
2023-09-12,36280.0
2023-09-13,35800.0
2023-09-14,35580.0
2023-09-15,34380.0
2023-09-16,34350.0
2023-09-17,35250.0
2023-09-18,34400.0
2023-09-19,33510.0
2023-09-20,33800.0
2023-09-21,36730.0
2023-09-22,33190.0
2023-09-23,32350.0
2023-09-24,33350.0
2023-09-25,35680.0
2023-09-26,36900.0
2023-09-27,36800.0
2023-09-28,37070.0
2023-09-29,36500.0
2023-09-30,37110.0
2023-10-01,36920.0
2023-10-02,39260.0
2023-10-03,40740.0
2023-10-04,40050.0
2023-10-05,39860.0
2023-10-06,40670.0
2023-10-07,40620.0
2023-10-08,41690.0
2023-10-09,43330.0
2023-10-10,43930.0
2023-10-11,44010.0
2023-10-12,44440.0
2023-10-13,45390.0
2023-10-14,45410.0
2023-10-15,45840.0
2023-10-16,48900.0
2023-10-17,49610.0
2023-10-18,51010.0
2023-10-19,52500.0
2023-10-20,51510.0
2023-10-21,53570.0
2023-10-22,54570.0
2023-10-23,60040.0
2023-10-24,62840.0
2023-10-25,64390.0
2023-10-26,65740.0
2023-10-27,67880.0
2023-10-28,69030.0
2023-10-29,69090.0
2023-10-30,74480.0
2023-10-31,77590.0
2023-11-01,78720.0
2023-11-02,77940.0
2023-11-03,79200.0
2023-11-04,79720.0
2023-11-05,81890.0
2023-11-06,83790.0
2023-11-07,82290.0
2023-11-08,82430.0
2023-11-09,81620.0
2023-11-10,83330.0
2023-11-11,82670.0
2023-11-12,83600.0
2023-11-13,83830.0
2023-11-14,84100.0
2023-11-15,82290.0
2023-11-16,83710.0
2023-11-17,84430.0
2023-11-18,85000.0
2023-11-19,78630.0
2023-11-20,88820.0
2023-11-21,91440.0
2023-11-22,90170.0
2023-11-23,95180.0
2023-11-24,93900.0
2023-11-25,83970.0
2023-11-26,90840.0
2023-11-27,91930.0
2023-11-28,90390.0
2023-11-29,90080.0
2023-11-30,90850.0
2023-12-01,90590.0
2023-12-02,91200.0
2023-12-03,92160.0
2023-12-04,92870.0
2023-12-05,95090.0
2023-12-06,95270.0
2023-12-07,95860.0
2023-12-08,95130.0
2023-12-09,95410.0
2023-12-10,95370.0
2023-12-11,94950.0
2023-12-12,92890.0
2023-12-13,93870.0
2023-12-14,92360.0
2023-12-15,90680.0
2023-12-16,91030.0
2023-12-17,90190.0
2023-12-18,86810.0
2023-12-19,82430.0
2023-12-20,81230.0
2023-12-21,81010.0
2023-12-22,80240.0
2023-12-23,79610.0
2023-12-24,79590.0
2023-12-25,81260.0
2023-12-26,81260.0
2023-12-27,82110.0
2023-12-28,80800.0
2023-12-29,82130.0
2023-12-30,80600.0
2023-12-31,79900.0
2024-01-01,80540.0
2024-01-02,78710.0
2024-01-03,81540.0
2024-01-04,79860.0
2024-01-05,78280.0
2024-01-06,76820.0
2024-01-07,76270.0
2024-01-08,71290.0
2024-01-09,66750.0
2024-01-10,66800.0
2024-01-11,65790.0
2024-01-12,61600.0
2024-01-13,57560.0
2024-01-14,58660.0
2024-01-15,54180.0
2024-01-16,55190.0
2024-01-17,55310.0
2024-01-18,53640.0
2024-01-19,51700.0
2024-01-20,51460.0
2024-01-21,52520.0
2024-01-22,50230.0
2024-01-23,49600.0
2024-01-24,49220.0
2024-01-25,47850.0
2024-01-26,48360.0
2024-01-27,46710.0
2024-01-28,48950.0
2024-01-29,47500.0
2024-01-30,47500.0
2024-01-31,47330.0
2024-02-01,48060.0
2024-02-02,46930.0
2024-02-03,45600.0
2024-02-04,46610.0
2024-02-05,46910.0
2024-02-06,46760.0
2024-02-07,45830.0
2024-02-08,45770.0
2024-02-09,38810.0
2024-02-10,48800.0
2024-02-11,49690.0
2024-02-12,49610.0
2024-02-13,51250.0
2024-02-14,51380.0
2024-02-15,53930.0
2024-02-16,60110.0
2024-02-17,63960.0
2024-02-18,67030.0
2024-02-19,65790.0
2024-02-20,66580.0
2024-02-21,69530.0
2024-02-22,71990.0
2024-02-23,75690.0
2024-02-24,76330.0
2024-02-25,75810.0
2024-02-26,73950.0
2024-02-27,73540.0
2024-02-28,73770.0
2024-02-29,73740.0
2024-03-01,71970.0
2024-03-02,72870.0
2024-03-03,72500.0
2024-03-04,71560.0
2024-03-05,70500.0
2024-03-06,68570.0
2024-03-07,69570.0
2024-03-08,69260.0
2024-03-09,69550.0
2024-03-10,69570.0
2024-03-11,69370.0
2024-03-12,68540.0
2024-03-13,70010.0
2024-03-14,70680.0
2024-03-15,67280.0
2024-03-16,66240.0
2024-03-17,65050.0
2024-03-18,59770.0
2024-03-19,57570.0
2024-03-20,56410.0
2024-03-21,51830.0
2024-03-22,49470.0
2024-03-23,48650.0
2024-03-24,48510.0
2024-03-25,45370.0
2024-03-26,43700.0
2024-03-27,44080.0
2024-03-28,42610.0
2024-03-29,41700.0
2024-03-30,40540.0
2024-03-31,42150.0
2024-04-01,43190.0
2024-04-02,42620.0
2024-04-03,42040.0
2024-04-04,43930.0
2024-04-05,44010.0
2024-04-06,44510.0
2024-04-07,49970.0
2024-04-08,59090.0
2024-04-09,61050.0
2024-04-10,
2024-04-11,51970.0
2024-04-12,58540.0
2024-04-13,54390.0
2024-04-14,53180.0
2024-04-15,49000.0
2024-04-16,43420.0
2024-04-17,42470.0
2024-04-18,41190.0
2024-04-19,40070.0
2024-04-20,40440.0
2024-04-21,40780.0
2024-04-22,43590.0
2024-04-23,42800.0
2024-04-24,42170.0
2024-04-25,40790.0
2024-04-26,41600.0
2024-04-27,41520.0
2024-04-28,42400.0
2024-04-29,43220.0
2024-04-30,42900.0
2024-05-01,42310.0
2024-05-02,41770.0
2024-05-03,41910.0
2024-05-04,40820.0
2024-05-05,41230.0
2024-05-06,38920.0
2024-05-07,38230.0
2024-05-08,37940.0
